Company,Description,Source,Link,Month,Year,Ticker
Egged Transportation Cooperative Society Ltd.,Runs bus services connecting settlements to Israeli cities.,UN OHCHR Settlements Report 2020,https://www.bbc.com/news/world-middle-east-51477247,February,2020,N/A
Energix Renewable Energies Ltd.,Develops renewable energy projects in settlement areas.,UN OHCHR Settlements Report 2020,https://www.bbc.com/news/world-middle-east-51477248,February,2020,ENRG.TA
First International Bank of Israel Ltd.,Provides banking services to businesses and individuals in settlements.,UN OHCHR Settlements Report 2020,https://www.bbc.com/news/world-middle-east-51477249,February,2020,FIBI.TA
Israel Discount Bank Ltd.,Finances development projects in settlements.,UN OHCHR Settlements Report 2020,https://www.bbc.com/news/world-middle-east-51477250,February,2020,DSCT.TA
Mekorot Water Company Ltd.,Supplies water infrastructure supporting settlements.,UN OHCHR Settlements Report 2020,https://www.bbc.com/news/world-middle-east-51477251,February,2020,N/A
Mizrahi Tefahot Bank Ltd.,Issues loans for settlement housing projects.,UN OHCHR Settlements Report 2020,https://www.bbc.com/news/world-middle-east-51477252,February,2020,MZTF.TA
Partner Communications Company Ltd.,Provides telecom services to settlement communities.,UN OHCHR Settlements Report 2020,https://www.bbc.com/news/world-middle-east-51477253,February,2020,PTNR.TA
Paz Oil Company Ltd.,Supplies oil and fuel to settlements.,UN OHCHR Settlements Report 2020,https://www.bbc.com/news/world-middle-east-51477254,February,2020,PAZ.TA
Pelephone Communications Ltd.,Provides cellular services to settlement regions.,UN OHCHR Settlements Report 2020,https://www.bbc.com/news/world-middle-east-51477255,February,2020,N/A
Rami Levi Chain Stores Hashikma Marketing 2006 Ltd.,Operates supermarkets and retail services in settlements.,UN OHCHR Settlements Report 2020,https://www.bbc.com/news/world-middle-east-51477256,February,2020,N/A
Shufersal Ltd.,Runs grocery stores in settlements.,UN OHCHR Settlements Report 2020,https://www.bbc.com/news/world-middle-east-51477257,February,2020,SHFS.TA
YES (Satellite Television Provider),Provides TV services to settlement households.,UN OHCHR Settlements Report 2020,https://www.bbc.com/news/world-middle-east-51477258,February,2020,N/A
Superbus Ltd.,Operates public transport routes servicing settlements.,UN OHCHR Settlements Report 2020,https://www.bbc.com/news/world-middle-east-51477259,February,2020,N/A
Motorola Solutions Israel Ltd.,Implements surveillance systems in settlements.,UN OHCHR Settlements Report 2020,https://www.bbc.com/news/world-middle-east-51477260,February,2020,N/A
Airbnb,"According to the BDS National Committee, ""Airbnb(US), Booking.com (Netherlands) and Expedia (US) all offer rentals in illegal Israeli settlements built on stolen Palestinian land.""Airbnb had previously committed to removing rentals from settlements, but due to pressure including a number of lawsuits itreversedits decision.The Guardian found321 Airbnbs on Israeli settlements in the West Bank, as of August 2024, a third of all Airbnbs in the West Bank. 18 of these were in outposts, which are built by settlers to expand onto more Palestinian land. Two in five of Airbnb properties in settlements listed their location as “Israel”, showing that the settlers renting them out claim that this stolen land is now Israeli.View our list of ethical alternative brands to Airbnb.",Ethical Consumer,https://www.ethicalconsumer.org/ethicalcampaigns/boycotts,April,2025,ABNB
Amazon,"Anarticlepublished on 5 January 2024 on the BDS National Committee website listed Amazon as a 'pressure target', calling for boycotts of the company if people were able to find viable alternatives.It stated ""In May 2021, as the Israeli military bombedhomes,clinics, andschoolsin Gaza andthreatenedto push Palestinian families from their homes in occupied Jerusalem, Amazon Web Services and Google Cloud signed a $1.22 billion contract to provide cloud technology to the Israeli government and military. By supporting Israeli apartheid with vital technologies, Amazon and Google are directly implicated in its entire system of oppression, including its unfolding genocide in Gaza.""Read more about the#NoTechForApartheid campaign, a project run by MPOWER CHANGE (a Muslim grassroots movement) and Jewish Voice for Peace.View our list of ethical alternative brands to Amazon.",Ethical Consumer,https://www.ethicalconsumer.org/ethicalcampaigns/boycotts,April,2025,AMZN
Amazon,"Ethical Consumer has called for a boycott of Amazon over its outrageous tax avoidancesince 2012. We also support boycott calls of the company based on its treatment of workers and the environment.We estimate that Amazon's tax avoidance could havecost the UK economy around £433m in 2023.Read moreabout our call to boycott Amazon on our website.If you want to join the boycott of Amazon, you can:Use our ethical shopping guides to findalternatives to AmazonSign ourpledge to boycott Amazon",Ethical Consumer,https://www.ethicalconsumer.org/ethicalcampaigns/boycotts,April,2025,CS.PA
AXA,"The BDS National Committee is calling for a boycott of AXA until it ""fully divestsfrom companies involved in Israel's ongoing genocide"".On 21 August 2024 the AXA boycott organisers (the Stop AXA Assistance to Israeli Apartheid coalition, which commissioned a report into thelinks between AXA and Israeli banksin 2021) shared the news that AXA had sold its investments in all major Israeli banks and Elbit Systems, Israel’s largest military company.While a major milestone for the campaign, it continues tocall for a boycott of the companyuntil it fullydivests from other complicit companies. Boycott Bloody Insurance found thatAXA still had $176,738,585 invested in other arms companiesthat supplied Israel, like BAE Systems and Caterpillar, in February 2025.According to the BDS movement, over 10,000 people and 230 organisations have signed the pledge to boycott AXA.View our list of ethical alternative brands to Axa.",Ethical Consumer,https://www.ethicalconsumer.org/ethicalcampaigns/boycotts,April,2025,BARC.L
